isbn,length
439023483,374
439554934,-1
316015849,544
61120081,-1
743273567,180
525478817,318
618260307,320
316769177,277
1416524797,713
679783261,320
1594480001,-1
62024035,-1
451524934,328
452284244,128
553296981,285
307269752,465
439023491,391
043965548X,-1
618346252,398
439023513,390
439358078,-1
316166685,372
439064864,341
439139600,734
545010225,-1
307277674,464
439785960,-1
140283331,-1
743477111,336
297859382,-1
399155341,-1
142000671,103
739326228,758
1612130291,-1
61122416,-1
385732554,179
60764899,-1
965818675,-1
553588486,835
143038419,334
786838655,377
451529308,456
142437204,532
553816713,272
770430074,480
1565125606,350
375831002,552
307347974,183
316160199,563
60513039,-1
1416914285,485
316160202,629
375826696,505
345391802,-1
60929871,-1
031606792X,756
142001740,302
142437174,327
64410935,-1
1400032717,226
1594633665,-1
679879242,399
393978893,432
743454537,-1
385333846,275
446675539,1037
1594489505,372
671027344,213
7442912,-1
812550706,324
141439475,273
450040186,512
316068047,-1
142402516,256
014028009X,271
141439661,409
439244196,-1
307275558,432
143039954,560
156012197,96
074324754X,288
385486804,207
141439602,488
030734813X,467
60256656,-1
385338600,-1
374500010,120
014241493X,-1
345418263,429
014038572X,180
385737947,378
61234001,-1
517189607,288
60531045,-1
375751513,266
345803507,578
393970124,492
307269981,503
1612130585,-1
60786507,-1
349113912,272
99408392,-1
140449264,1276
307265439,241
7524277,-1
,-1
446693804,240
440241413,-1
451525264,1488
553381695,768
143037145,401
670026603,-1
684833395,453
751529818,212
312422156,529
143039563,-1
440498058,-1
143038095,-1
038549081X,-1
385729332,294
,-1
60987103,-1
582418275,75
316098337,321
521618746,286
340839937,608
316346624,301
1451648537,-1
451163966,272
684830493,93
142000663,455
1401308589,-1
451528824,320
1416914307,541
055357342X,1177
006075995X,383
440242940,896
142437263,238
1594744769,352
030726999X,-1
804139024,369
451207149,976
1476746583,-1
1400064163,-1
671027387,372
316055433,-1
1595141715,-1
452287022,233
525421033,-1
312353766,321
786856866,288
446528056,532
1416914293,480
743477103,223
618346260,1137
031232118X,322
394800168,62
142403881,176
1423101464,368
192833596,530
345339738,-1
,-1
142311339X,-1
1250012570,336
055358202X,1053
525423648,369
747263744,672
385199570,1153
446547565,390
552151696,512
141439580,474
345803922,-1
393312836,192
964729237,252
739380338,-1
451169514,1138
143058142,1
61148512,-1
7205236,-1
553208845,152
679745580,343
316042676,-1
1416975861,-1
141301066,240
385534639,-1
743227441,664
689865384,425
,-1
618640150,1178
307592731,-1
930289234,413
075640407X,661
316017922,-1
142437247,654
385340990,288
393327345,208
441008534,260
671727796,295
739461192,-1
312330871,264
385504225,509
1416989412,-1
,-1
1561797464,104
345476875,352
62059939,-1
312362080,334
1400052173,-1
99446782,-1
159514174X,-1
316010669,320
038572179X,351
553213695,201
141382899,-1
030788743X,374
1554681723,-1
739303406,-1
425263908,-1
66238501,-1
316043133,141
1558743669,184
752864327,576
786817879,316
385738935,-1
142000655,601
307341569,-1
385339089,482
312291639,305
451527747,-1
192802631,-1
312370830,304
452284694,231
140003468X,348
014131088X,197
399159347,-1
385494785,332
1416524304,272
031242227X,320
307346609,342
385537859,480
440227534,-1
446692638,-1
450417395,-1
307341542,-1
439366771,-1
312360266,-1
743269519,-1
743477545,204
618711651,326
375869026,-1
039480001X,61
312641893,-1
316206849,455
545123267,-1
452011876,1200
143038257,338
517223627,96
143034901,486
385738757,-1
,-1
767900383,280
399167064,-1
590920685,232
743297334,256
61120073,-1
446677388,-1
312577222,-1
1400078776,288
786890754,-1
