title	wiki_id	booksummaries_index
The Hunger Games (The Hunger Games, #1)	20128213	13185
Harry Potter and the Sorcerer's Stone (Harry Potter, #1)	48648	158
Twilight (Twilight, #1)	4451267	5546
To Kill a Mockingbird	73408	308
The Great Gatsby	76033	320
The Fault in Our Stars	32262844	16216
The Hobbit	30292	85
The Catcher in the Rye	186258	544
Angels & Demons  (Robert Langdon, #1)	577390	1305
Pride and Prejudice	24162	65
The Kite Runner	1398951	2492
Divergent (Divergent, #1)	-1	-1
1984	23454753	14207
Animal Farm	620	0
The Diary of a Young Girl	-1	-1
The Girl with the Dragon Tattoo (Millennium, #1)	14975869	11433
Catching Fire (The Hunger Games, #2)	21909903	13738
Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)	254498	716
The Fellowship of the Ring (The Lord of the Rings, #1)	27472888	15275
Mockingjay (The Hunger Games, #3)	26170677	14969
Harry Potter and the Order of the Phoenix (Harry Potter, #5)	156489	445
The Lovely Bones	-1	-1
Harry Potter and the Chamber of Secrets (Harry Potter, #2)	163234	480
Harry Potter and the Goblet of Fire (Harry Potter, #4)	259128	724
Harry Potter and the Deathly Hallows (Harry Potter, #7)	-1	-1
The Da Vinci Code (Robert Langdon, #2)	5043452	6113
Harry Potter and the Half-Blood Prince (Harry Potter, #6)	2270723	3447
Lord of the Flies	31584	98
Romeo and Juliet	25821	68
Gone Girl	-1	-1
The Help	24756137	14597
Of Mice and Men	62120	239
Memoirs of a Geisha	901398	1806
Fifty Shades of Grey (Fifty Shades, #1)	35166850	16529
The Alchemist	14335797	11154
The Giver (The Giver, #1)	199932	582
The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)	242130	690
The Time Traveler's Wife	2029175	3190
A Game of Thrones (A Song of Ice and Fire, #1)	713577	1525
Eat, Pray, Love	-1	-1
The Lightning Thief (Percy Jackson and the Olympians, #1)	6111753	7138
Little Women (Little Women, #1)	-1	-1
Jane Eyre	55438	184
The Notebook (The Notebook, #1)	714218	1529
Life of Pi	419078	1035
Water for Elephants	10392345	9506
The Book Thief	-1	-1
Fahrenheit 451	10951	35
New Moon (Twilight, #2)	6997883	7686
Where the Sidewalk Ends	-1	-1
City of Bones (The Mortal Instruments, #1)	18384765	12533
Eclipse (Twilight, #3)	8497022	8510
Eragon (The Inheritance Cycle, #1)	606612	1342
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)	478921	1139
Brave New World	36681	103
Breaking Dawn (Twilight, #4)	20776698	13395
The Secret Life of Bees	2224493	3407
The Adventures of Huckleberry Finn	14311	45
Charlotte's Web	302301	792
The Curious Incident of the Dog in the Night-Time	890626	1788
The Girl on the Train	-1	-1
The Golden Compass (His Dark Materials, #1)	-1	-1
Wuthering Heights	55435	183
My Sister's Keeper	2449650	3651
Slaughterhouse-Five	185865	543
Gone with the Wind	12995	41
A Thousand Splendid Suns	10433866	9518
The Perks of Being a Wallflower	2162569	3344
Insurgent (Divergent, #2)	-1	-1
Ender's Game (Ender's Saga, #1)	58901	200
Frankenstein	18580673	12585
The Shining (The Shining #1)	29999	82
The Host (The Host, #1)	13116455	10638
Looking for Alaska	-1	-1
Bridget Jones's Diary (Bridget Jones, #1)	-1	-1
Sense and Sensibility	27490	73
Holes (Holes, #1)	959366	1889
The Devil Wears Prada (The Devil Wears Prada, #1)	1937988	3102
The Odyssey	1660387	2786
The Little Prince	63425	246
The Glass Castle	-1	-1
Into the Wild	10857898	9673
A Tale of Two Cities	3433040	4643
Jurassic Park (Jurassic Park, #1)	5326809	6424
The Giving Tree	1364178	2427
A Time to Kill	620201	1377
Night (The Night Trilogy #1)	-1	-1
Paper Towns	18451040	12553
The Princess Bride 	3681524	4894
The Outsiders	562456	1273
The Maze Runner (Maze Runner, #1)	25491508	14793
Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)	-1	-1
The Secret Garden	410873	1018
One Hundred Years of Solitude	654705	1437
The Picture of Dorian Gray	31342	94
Fifty Shades Freed (Fifty Shades, #3)	-1	-1
Dracula	7923	26
The Girl Who Played with Fire (Millennium, #2)	20584690	13341
