adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count,isbook
False,/lkOZcsXcOLZYeJ2YxJd3vSldvU4.jpg,"{'id': 295130, 'name': 'The Maze Runner Collection', 'poster_path': '/beR71cbwXH0vySlTMPZo0GQ54Q9.jpg', 'backdrop_path': '/eQ8iwAvGfuNnPjBCKTIVp5PsFw.jpg'}",34000000,"[{'id': 28, 'name': 'Action'}, {'id': 9648, 'name': 'Mystery'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",http://themazerunnermovie.com/,198663,tt1790864,en,The Maze Runner,"Set in a post-apocalyptic world, young Thomas is deposited in a community of boys after his memory is erased, soon learning they're all trapped in a maze that will require him to join forces with fellow â€œrunnersâ€� for a shot at escape.",459.57937999999996,/coss7RgL0NH6g4fC2s5atvf3dFO.jpg,"[{'name': 'Ingenious Media', 'id': 290}, {'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': 'Gotham Group', 'id': 3672}, {'name': 'Dayday Films', 'id': 8569}, {'name': 'Temple Hill Entertainment', 'id': 12292}, {'name': 'TSG Entertainment', 'id': 22213}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2014-09-10,348300000,113.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Remember. Survive. Run.,The Maze Runner,False,7.0,6625,0
False,/umC04Cozevu8nn3JTDJ1pc7PVTn.jpg,"{'id': 404609, 'name': 'John Wick Collection', 'poster_path': '/uGhPxTrmT5yASzZrR1oz1ft9UWr.jpg', 'backdrop_path': '/fSwYa5q2xRkBoOOjueLpkLf3N1m.jpg'}",20000000,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",http://www.johnwickthemovie.com/,245891,tt2911666,en,John Wick,Ex-hitman John Wick comes out of retirement to track down the gangsters that took everything from him.,336.234621,/5vHssUeVe25bMrof1HyaPyWgaP.jpg,"[{'name': 'Summit Entertainment', 'id': 491}, {'name': 'Warner Bros.', 'id': 6194}, {'name': '87Eleven', 'id': 23008}, {'name': 'DefyNite Films', 'id': 36259}, {'name': 'MJW Films', 'id': 36433}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}, {'iso_3166_1': 'CN', 'name': 'China'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2014-10-22,88761661,101.0,"[{'iso_639_1': 'hu', 'name': 'Magyar'}, {'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'ru', 'name': 'PÑƒÑ�Ñ�ÐºÐ¸Ð¹'}]",Released,Don't set him off.,John Wick,False,7.0,6678,0
False,/tcheoA2nPATCm2vvXw2hVQoaEFD.jpg,"{'id': 477962, 'name': 'It: Movie Collection', 'poster_path': '/9tnrNFF450DWUQu3DzyFXVmuE8e.jpg', 'backdrop_path': '/9n4P66pB7NxDM5I9LOIc0vpluYL.jpg'}",35000000,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",http://itthemovie.com/,346364,tt1396484,en,It,"In a small town in Maine, seven children known as The Losers Club come face to face with life problems, bullies and a monster that takes the shape of a clown called Pennywise.",296.38534,/9E2y5Q7WlCVNEhP5GiVTjhEhx1o.jpg,"[{'name': 'New Line Cinema', 'id': 12}, {'name': 'Vertigo Entertainment', 'id': 829}, {'name': 'Lin Pictures', 'id': 2723}, {'name': 'RatPac-Dune Entertainment', 'id': 41624}, {'name': 'KatzSmith Productions', 'id': 87671}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2017-09-05,700381748,135.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Your fears are unleashed,It,False,7.1,6292,0
False,/askg3SMvhqEl4OL52YuvdtY40Yb.jpg,,175000000,"[{'id': 16, 'name': 'Animation'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}]",,354912,tt2380307,en,Coco,"Despite his familyâ€™s baffling generations-old ban on music, Miguel dreams of becoming an accomplished musician like his idol, Ernesto de la Cruz. Desperate to prove his talent, Miguel finds himself in the stunning and colorful Land of the Dead following a mysterious chain of events. Along the way, he meets charming trickster Hector, and together, they set off on an extraordinary journey to unlock the real story behind Miguel's family history.",267.471977,/eKi8dIrr8voobbaGzDpe8w0PVbC.jpg,"[{'name': 'Disney Pixar', 'id': 6806}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2017-10-27,681716114,109.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'EspaÃ±ol'}]",Released,The celebration of a lifetime,Coco,False,7.7,1819,0
False,/7k4zEgUZbzMHawDaMc9yIkmY1qR.jpg,"{'id': 495527, 'name': 'Jumanji Collection', 'poster_path': '/7E2DerSdIVeh1vHwkV1J56Kto3x.jpg', 'backdrop_path': '/dsaUpJoxSqYJh96s5Z9hHzoRKQ3.jpg'}",65000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10751, 'name': 'Family'}]",,8844,tt0113497,en,Jumanji,"When siblings Judy and Peter discover an enchanted board game that opens the door to a magical world, they unwittingly invite Alan -- an adult who's been trapped inside the game for 26 years -- into their living room. Alan's only hope for freedom is to finish the game, which proves risky as all three find themselves running from giant rhinoceroses, evil monkeys and other terrifying creatures.",259.856786,/8wBKXZNod4frLZjAKSDuAcQ2dEU.jpg,"[{'name': 'TriStar Pictures', 'id': 559}, {'name': 'Teitler Film', 'id': 2550}, {'name': 'Interscope Communications', 'id': 10201}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995-12-15,262797249,104.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'FranÃ§ais'}]",Released,Roll the dice and unleash the excitement!,Jumanji,False,7.0,3539,0
False,/mVr0UiqyltcfqxbAUcLl9zWL8ah.jpg,"{'id': 422837, 'name': 'Blade Runner Collection', 'poster_path': '/3nU3Xp392atVc50Y4ihSKnb3fFt.jpg', 'backdrop_path': '/xiOw9kLNfFPoe3j3J6nHqDTT1fu.jpg'}",150000000,"[{'id': 9648, 'name': 'Mystery'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",http://bladerunnermovie.com/,335984,tt1856101,en,Blade Runner 2049,"Thirty years after the events of the first film, a new blade runner, LAPD Officer K, unearths a long-buried secret that has the potential to plunge what's left of society into chaos. K's discovery leads him on a quest to find Rick Deckard, a former LAPD blade runner who has been missing for 30 years.",249.880529,/gajva2L0rPYkEWjzgFlBXCAVBE5.jpg,"[{'name': 'Alcon Entertainment', 'id': 1088}, {'name': 'Scott Free Productions', 'id': 1645}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'Thunderbird Films', 'id': 78028}, {'name': 'Torridon Films', 'id': 79529}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2017-10-04,259234215,163.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,There's still a page left.,Blade Runner 2049,False,7.4,2966,0
False,/uExPmkOHJySrbJyJDJylHDqaT58.jpg,"{'id': 391860, 'name': 'Kingsman Collection', 'poster_path': '/uk7UCjLyvSodRU5ufbiemCEZ3SG.jpg', 'backdrop_path': '/8XZnIWG7on74SaJ6t23kdPOYXUG.jpg'}",104000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}]",http://www.foxmovies.com/movies/kingsman-the-golden-circle,343668,tt4649466,en,Kingsman: The Golden Circle,"When an attack on the Kingsman headquarters takes place and a new villain rises, Eggsy and Merlin are forced to work together with the American agency known as the Statesman to save the world.",244.82119900000004,/34xBL6BXNYFqtHO9zhcgoakS4aP.jpg,"[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': 'Shangri-La Entertainment', 'id': 2265}, {'name': 'Marv Films', 'id': 5374}, {'name': 'TSG Entertainment', 'id': 22213}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2017-09-20,394247609,141.0,"[{'iso_639_1': 'sv', 'name': 'svenska'}, {'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'it', 'name': 'Italiano'}]",Released,Reports of my death have been greatly exaggerated.,Kingsman: The Golden Circle,False,7.0,2500,0
False,/6aUWe0GSl69wMTSWWexsorMIvwU.jpg,,160000000,"[{'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10749, 'name': 'Romance'}]",http://movies.disney.com/beauty-and-the-beast-2017,321612,tt2771200,en,Beauty and the Beast,A live-action adaptation of Disney's version of the classic tale of a cursed prince and a beautiful young woman who helps him break the spell.,210.66402599999998,/tWqifoYuwLETmmasnGHO7xBjEtt.jpg,"[{'name': 'Walt Disney Pictures', 'id': 2}, {'name': 'Mandeville Films', 'id': 10227}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2017-03-16,1262886337,129.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Be our guest.,Beauty and the Beast,False,6.8,7110,0
False,/9K4QqQZg4TVXcxBGDiVY4Aey3Rn.jpg,,0,"[{'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10402, 'name': 'Music'}]",,460793,tt5452780,en,Olaf's Frozen Adventure,"Olaf is on a mission to harness the best holiday traditions for Anna, Elsa, and Kristoff.",197.610189,/47pLZ1gr63WaciDfHCpmoiXJlVr.jpg,"[{'name': 'Walt Disney Home Video', 'id': 7586}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2017-10-27,0,23.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Olaf's Frozen Adventure,False,5.8,383,0
False,/kaIfm5ryEOwYg8mLbq8HkPuM1Fo.jpg,"{'id': 131296, 'name': 'Thor Collection', 'poster_path': '/yw7gr7DhHHVTLlO8Se8uH17TDMA.jpg', 'backdrop_path': '/3KL8UNKFWgIKXzLHjwY0uwgjzYl.jpg'}",180000000,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}]",https://marvel.com/movies/movie/222/thor_ragnarok,284053,tt3501632,en,Thor: Ragnarok,"Thor is imprisoned on the other side of the universe and finds himself in a race against time to get back to Asgard to stop Ragnarok, the prophecy of destruction to his homeworld and the end of Asgardian civilization, at the hands of an all-powerful new threat, the ruthless Hela.",196.550303,/oSLd5GYGsiGgzDPKTwQh7wamO8t.jpg,"[{'name': 'Walt Disney Pictures', 'id': 2}, {'name': 'Marvel Studios', 'id': 420}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2017-10-25,852371547,130.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,No Hammer. No Problem.,Thor: Ragnarok,False,7.5,3608,0
